"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@angular/animations","10.2.5","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fanimations"
"nodejs","@angular/cdk","9.2.4","MIT","Copyright (c) 2025 Google LLC.","https://www.npmjs.com/package/%40angular%2Fcdk"
"nodejs","@angular/common","10.2.5","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcommon"
"nodejs","@angular/common","^9.1.13","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcommon"
"nodejs","@angular/compiler","10.2.5","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcompiler"
"nodejs","@angular/core","10.2.5","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcore"
"nodejs","@angular/core","^9.1.13","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcore"
"nodejs","@angular/elements","10.2.5","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Felements"
"nodejs","@angular/forms","10.2.5","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fforms"
"nodejs","@angular/localize","10.2.5","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Flocalize"
"nodejs","@angular/platform-browser","10.2.5","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser"
"nodejs","@angular/platform-browser-dynamic","10.2.5","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser-dynamic"
"nodejs","@angular/router","10.2.5","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Frouter"
"nodejs","@babel/core","7.11.1","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fcore"
"nodejs","@ng-bootstrap/ng-bootstrap","7.0.0","MIT","Copyright (c) 2015-2018 Angular ng-bootstrap team","https://www.npmjs.com/package/%40ng-bootstrap%2Fng-bootstrap"
"nodejs","@swimlane/ngx-datatable","18.0.0","MIT","Copyright (c) 2019 Swimlane <info@swimlane.com>","https://www.npmjs.com/package/%40swimlane%2Fngx-datatable"
"nodejs","ab-datepicker","2.1.19","MIT","Copyright (c) 2015 Jacques Archimède","https://www.npmjs.com/package/ab-datepicker"
"nodejs","abbrev","1.1.1","ISC","Copyright (c) Isaac Z. Schlueter and Contributors","https://www.npmjs.com/package/abbrev"
"nodejs","acorn","5.7.4","MIT","Copyright (C) 20122022 by various contributors (see AUTHORS)","https://www.npmjs.com/package/acorn"
"nodejs","acorn","6.4.2","MIT","Copyright (C) 20122022 by various contributors (see AUTHORS)","https://www.npmjs.com/package/acorn"
"nodejs","acorn-node","1.8.2","Apache-2.0","Copyright 2018 Renée Kooi <renee@kooi.me>","https://www.npmjs.com/package/acorn-node"
"nodejs","acorn-walk","7.2.0","MIT","Copyright (C) 20122022 by various contributors (see AUTHORS)","https://www.npmjs.com/package/acorn-walk"
"nodejs","adm-zip","0.5.16","MIT","Copyright (c) 2012 Another-D-Mention Software and other contributors","https://www.npmjs.com/package/adm-zip"
"nodejs","agent-base","4.2.1","MIT","","https://www.npmjs.com/package/agent-base"
"nodejs","alter","0.2.0","MIT","Copyright (c) 2013 Olov Lassus <olov.lassus@gmail.com>","https://www.npmjs.com/package/alter"
"nodejs","archy","0.0.2","MIT,X11","","https://www.npmjs.com/package/archy"
"nodejs","argparse","1.0.10","MIT","Copyright (c) 1991 - 1995, Stichting Mathematisch Centrum Amsterdam,The Netherlands.  All rights reserved.","https://www.npmjs.com/package/argparse"
"nodejs","ast-traverse","0.1.1","MIT","Copyright (c) 2013 Olov Lassus <olov.lassus@gmail.com>","https://www.npmjs.com/package/ast-traverse"
"nodejs","ast-types","0.8.12","MIT","Copyright (c) 2013 Ben Newman <bn@cs.stanford.edu>","https://www.npmjs.com/package/ast-types"
"nodejs","ast-types","0.9.6","MIT","Copyright (c) 2013 Ben Newman <bn@cs.stanford.edu>","https://www.npmjs.com/package/ast-types"
"nodejs","autoprefixer-core","3.1.2","MIT","","https://www.npmjs.com/package/autoprefixer-core"
"nodejs","base62","0.1.1","MIT","Copyright (c) 2016 Andrew Nesbitt","https://www.npmjs.com/package/base62"
"nodejs","boolean","3.2.0","MIT","","https://www.npmjs.com/package/boolean"
"nodejs","breakable","1.0.0","MIT","Copyright (c) 2013 Olov Lassus <olov.lassus@gmail.com>","https://www.npmjs.com/package/breakable"
"nodejs","builder-autoprefixer","1.0.4","MIT","","https://www.npmjs.com/package/builder-autoprefixer"
"nodejs","builder-es6-module-to-cjs","1.1.0","MIT","Copyright (c) 2014 segmentio &lt;team@segment.io&gt;","https://www.npmjs.com/package/builder-es6-module-to-cjs"
"nodejs","bytes","0.3.0","MIT","Copyright (c) 2012-2014 TJ Holowaychuk <tj@vision-media.ca>Copyright (c) 2015 Jed Watson <jed.watson@me.com>","https://www.npmjs.com/package/bytes"
"nodejs","bytes","3.1.2","MIT","Copyright (c) 2012-2014 TJ Holowaychuk <tj@vision-media.ca>Copyright (c) 2015 Jed Watson <jed.watson@me.com>","https://www.npmjs.com/package/bytes"
"nodejs","call-me-maybe","1.0.2","MIT","Copyright (c) 2015 Eric McCarthy","https://www.npmjs.com/package/call-me-maybe"
"nodejs","caniuse-db","1.0.30001745","CC-BY-4.0","Copyright (C) 2020 Alexis Deveria","https://www.npmjs.com/package/caniuse-db"
"nodejs","chanel","2.2.0","MIT","Copyright (c) 2014 Jonathan Ong me@jongleberry.com","https://www.npmjs.com/package/chanel"
"nodejs","cliui","2.1.0","ISC","Copyright (c) 2015, Contributors","https://www.npmjs.com/package/cliui"
"nodejs","co","3.0.6","MIT","Copyright (c) 2014 TJ Holowaychuk &lt;tj@vision-media.ca&gt;","https://www.npmjs.com/package/co"
"nodejs","cogent","0.4.3","MIT","Copyright (c) 2014 Jonathan Ong me@jongleberry.com","https://www.npmjs.com/package/cogent"
"nodejs","commander","6.2.1","MIT","Copyright (c) 2011 TJ Holowaychuk <tj@vision-media.ca>","https://www.npmjs.com/package/commander"
"nodejs","commoner","0.10.8","MIT","Copyright (c) 2013 Ben Newman <bn@cs.stanford.edu>","https://www.npmjs.com/package/commoner"
